Name,Type,Cat.,Power,Acc.,PP,TM,Effect,Prob. (%)
"10,000,000 Volt Thunderbolt",Electric,,195,—,1,,Pikachu-exclusive Z-Move. High critical hit ratio.,—
Absorb,Grass,,20,100,25,,User recovers half the HP inflicted on opponent.,—
Accelerock,Rock,,40,100,20,,User attacks first.,—
Acid,Poison,,40,100,30,,May lower opponent's Special Defense.,10
Acid Armor,Poison,,—,—,20,,Sharply raises user's Defense.,—
Acid Downpour,Poison,—,—,—,1,,Poison type Z-Move.,—
Acid Spray,Poison,,40,100,20,,Sharply lowers opponent's Special Defense.,100
Acrobatics,Flying,,55,100,15,,Stronger when the user does not have a held item.,—
Acupressure,Normal,,—,—,30,,Sharply raises a random stat.,—
Aerial Ace,Flying,,60,∞,20,,Ignores Accuracy and Evasiveness.,—
Aeroblast,Flying,,100,95,5,,High critical hit ratio.,—
After You,Normal,,—,—,15,,Gives target priority in the next turn.,—
Agility,Psychic,,—,—,30,,Sharply raises user's Speed.,—
Air Cutter,Flying,,60,95,25,,High critical hit ratio.,—
Air Slash,Flying,,75,95,15,,May cause flinching.,30
All-Out Pummeling,Fighting,—,—,—,1,,Fighting type Z-Move.,—
Ally Switch,Psychic,,—,—,15,,User switches with opposite teammate.,—
Amnesia,Psychic,,—,—,20,,Sharply raises user's Special Defense.,—
Anchor Shot,Steel,,80,100,20,,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.,—
Ancient Power,Rock,,60,100,5,,May raise all user's stats at once.,10
Apple Acid,Grass,,80,100,10,,Lowers target's Special Defense.,100
Aqua Jet,Water,,40,100,20,,User attacks first.,—
Aqua Ring,Water,,—,—,20,,Restores a little HP each turn.,—
Aqua Tail,Water,,90,90,10,,,—
Arm Thrust,Fighting,,15,100,20,,Hits 2-5 times in one turn.,—
Aromatherapy,Grass,,—,—,5,,Cures all status problems in your party.,—
Aromatic Mist,Fairy,,—,—,20,,Raises Special Defense of an ally.,—
Assist,Normal,,—,—,20,,User performs a move known by its allies at random.,—
Assurance,Dark,,60,100,10,,Power doubles if opponent already took damage in the same turn.,—
Astonish,Ghost,,30,100,15,,May cause flinching.,30
Astral Barrage,Ghost,,120,100,5,,The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.,—
Attack Order,Bug,,90,100,15,,High critical hit ratio.,—
Attract,Normal,,—,100,15,,"If opponent is the opposite gender, it's less likely to attack.",—
Aura Sphere,Fighting,,80,∞,20,,Ignores Accuracy and Evasiveness.,—
Aura Wheel,Electric,,110,100,10,,Changes type based on Morpeko's Mode.,100
Aurora Beam,Ice,,65,100,20,,May lower opponent's Attack.,10
Aurora Veil,Ice,,—,—,20,,Halves damage from Physical and Special attacks for five turns.,—
Autotomize,Steel,,—,—,15,,Reduces weight and sharply raises Speed.,—
Avalanche,Ice,,60,100,10,,Power doubles if user took damage first.,—
Baby-Doll Eyes,Fairy,,—,100,30,,Always goes first. Lowers the target's attack.,—
Baddy Bad,Dark,,90,100,15,,Reduces damage from Physical attacks.,—
Baneful Bunker,Poison,,—,—,10,,Protects the user and poisons opponent on contact.,—
Barb Barrage,Poison,,60,100,15,,Inflicts double damage if the target has a status condition.,—
Barrage,Normal,,15,85,20,,Hits 2-5 times in one turn.,—
Barrier,Psychic,,—,—,20,,Sharply raises user's Defense.,—
Baton Pass,Normal,,—,—,40,,User switches out and gives stat changes to the incoming Pokémon.,—
Beak Blast,Flying,,100,100,15,,"The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn.",—
Beat Up,Dark,,—,100,10,,Each Pokémon in user's party attacks.,—
Behemoth Bash,Steel,,100,100,5,,Damage doubles if target is Dynamaxed.,—
Behemoth Blade,Steel,,100,100,5,,Damage doubles if target is Dynamaxed.,—
Belch,Poison,,120,90,10,,User must have consumed a Berry.,—
Belly Drum,Normal,,—,—,10,,"User loses 50% of its max HP, but Attack raises to maximum.",—
Bestow,Normal,,—,—,15,,Gives the user's held item to the target.,—
Bide,Normal,,—,—,10,,User takes damage for two turns then strikes back double.,—
Bind,Normal,,15,85,20,,"Traps opponent, damaging them for 4-5 turns.",100
Bite,Dark,,60,100,25,,May cause flinching.,30
Bitter Malice,Ghost,,60,100,15,,Inflicts double damage if the target has a status condition.,—
Black Hole Eclipse,Dark,—,—,—,1,,Dark type Z-Move.,—
Blast Burn,Fire,,150,90,5,,User must recharge next turn.,—
Blaze Kick,Fire,,85,90,10,,High critical hit ratio. May burn opponent.,10
Bleakwind Storm,Flying,,95,80,5,,May cause frostbite.,—
Blizzard,Ice,,110,70,5,,May freeze opponent.,10
Block,Normal,,—,—,5,,Opponent cannot flee or switch.,—
Bloom Doom,Grass,—,—,—,1,,Grass type Z-Move.,—
Blue Flare,Fire,,130,85,5,,May burn opponent.,20
Body Press,Fighting,,80,100,10,,"The higher the user's Defense, the stronger the attack.",—
Body Slam,Normal,,85,100,15,,May paralyze opponent.,30
Bolt Beak,Electric,,85,100,10,,"If the user attacks before the target, the power of this move is doubled.",—
Bolt Strike,Electric,,130,85,5,,May paralyze opponent.,20
Bone Club,Ground,,65,85,20,,May cause flinching.,10
Bone Rush,Ground,,25,90,10,,Hits 2-5 times in one turn.,—
Bonemerang,Ground,,50,90,10,,Hits twice in one turn.,—
Boomburst,Normal,,140,100,10,,Hits all adjacent Pokémon.,—
Bounce,Flying,,85,85,5,,"Springs up on first turn, attacks on second. May paralyze opponent.",30
Bouncy Bubble,Water,,90,100,15,,User recovers half the HP inflicted on opponent.,—
Branch Poke,Grass,,40,100,40,,,—
Brave Bird,Flying,,120,100,15,,User receives recoil damage.,—
Breaking Swipe,Dragon,,60,100,15,,Hits multiple opponents and lowers their attack.,100
Breakneck Blitz,Normal,—,—,—,1,,Normal type Z-Move.,—
Brick Break,Fighting,,75,100,15,,Breaks through Reflect and Light Screen barriers.,—
Brine,Water,,65,100,10,,Power doubles if opponent's HP is less than 50%.,—
Brutal Swing,Dark,,60,100,20,,The user swings its body around violently to inflict damage on everything in its vicinity.,—
Bubble,Water,,40,100,30,,May lower opponent's Speed.,10
Bubble Beam,Water,,65,100,20,,May lower opponent's Speed.,10
Bug Bite,Bug,,60,100,20,,Receives the effect from the opponent's held berry.,—
Bug Buzz,Bug,,90,100,10,,May lower opponent's Special Defense.,10
Bulk Up,Fighting,,—,—,20,,Raises user's Attack and Defense.,—
Bulldoze,Ground,,60,100,20,,Lowers opponent's Speed.,100
Bullet Punch,Steel,,40,100,30,,User attacks first.,—
Bullet Seed,Grass,,25,100,30,,Hits 2-5 times in one turn.,—
Burn Up,Fire,,130,100,5,,"To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.",—
Burning Jealousy,Fire,,70,100,5,,"Hits all opponents, and burns any that have had their stats boosted.",—
Buzzy Buzz,Electric,,90,100,15,,Paralyzes the opponent.,100
Calm Mind,Psychic,,—,—,20,,Raises user's Special Attack and Special Defense.,—
Camouflage,Normal,,—,—,20,,Changes user's type according to the location.,—
Captivate,Normal,,—,100,20,,Sharply lowers opponent's Special Attack if opposite gender.,—
Catastropika,Electric,,210,—,1,,Pikachu-exclusive Z-Move.,—
Ceaseless Edge,Dark,,65,90,15,,High critical hit ratio. Damages target with splinters each turn.,—
Celebrate,Normal,,—,—,40,,The Pokémon congratulates you on your special day. No battle effect.,—
Charge,Electric,,—,—,20,,Raises user's Special Defense and next Electric move's power increases.,—
Charge Beam,Electric,,50,90,10,,May raise user's Special Attack.,70
Charm,Fairy,,—,100,20,,Sharply lowers opponent's Attack.,—
Chatter,Flying,,65,100,20,,Confuses opponent.,100
Chip Away,Normal,,70,100,20,,Ignores opponent's stat changes.,—
Chloroblast,Grass,,120,95,5,,User receives recoil damage.,—
Circle Throw,Fighting,,60,90,10,,"In battles, the opponent switches. In the wild, the Pokémon runs.",—
Clamp,Water,,35,85,15,,"Traps opponent, damaging them for 4-5 turns.",100
Clanging Scales,Dragon,,110,100,5,,Lowers user's Defense.,100
Clangorous Soul,Dragon,,—,100,5,,Raises all user's stats but loses HP.,100
Clangorous Soulblaze,Dragon,,185,—,1,,Kommo-o exclusive Z-Move.,—
Clear Smog,Poison,,50,—,15,,Removes all of the target's stat changes.,—
Close Combat,Fighting,,120,100,5,,Lowers user's Defense and Special Defense.,100
Coaching,Fighting,,—,—,10,,Boosts Attack and Defense of a teammate.,—
Coil,Poison,,—,—,20,,"Raises user's Attack, Defense and Accuracy.",—
Comet Punch,Normal,,18,85,15,,Hits 2-5 times in one turn.,—
Confide,Normal,,—,—,20,,Lowers opponent's Special Attack.,100
Confuse Ray,Ghost,,—,100,10,,Confuses opponent.,—
Confusion,Psychic,,50,100,25,,May confuse opponent.,10
Constrict,Normal,,10,100,35,,May lower opponent's Speed by one stage.,10
Continental Crush,Rock,—,—,—,1,,Rock type Z-Move.,—
Conversion,Normal,,—,—,30,,Changes user's type to that of its first move.,—
Conversion 2,Normal,,—,—,30,,User changes type to become resistant to opponent's last move.,—
Copycat,Normal,,—,—,20,,Copies opponent's last move.,—
Core Enforcer,Dragon,,100,100,10,,Suppresses the target's ability if the target has already moved.,—
Corkscrew Crash,Steel,—,—,—,1,,Steel type Z-Move.,—
Corrosive Gas,Poison,,—,100,40,,Removes opponent's items.,—
Cosmic Power,Psychic,,—,—,20,,Raises user's Defense and Special Defense.,—
Cotton Guard,Grass,,—,—,10,,Drastically raises user's Defense.,—
Cotton Spore,Grass,,—,100,40,,Sharply lowers opponent's Speed.,—
Counter,Fighting,,—,100,20,,"When hit by a Physical Attack, user strikes back with 2x power.",—
Court Change,Normal,,—,100,10,,Swaps the effects on either side of the field.,—
Covet,Normal,,60,100,25,,Opponent's item is stolen by the user.,—
Crabhammer,Water,,100,90,10,,High critical hit ratio.,—
Crafty Shield,Fairy,,—,—,10,,Protects the Pokémon from status moves.,—
Cross Chop,Fighting,,100,80,5,,High critical hit ratio.,—
Cross Poison,Poison,,70,100,20,,High critical hit ratio. May poison opponent.,10
Crunch,Dark,,80,100,15,,May lower opponent's Defense.,20
Crush Claw,Normal,,75,95,10,,May lower opponent's Defense.,50
Crush Grip,Normal,,—,100,5,,More powerful when opponent has higher HP.,—
Curse,Ghost,,—,—,10,,"Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed.",—
Cut,Normal,,50,95,30,,,—
Dark Pulse,Dark,,80,100,15,,May cause flinching.,20
Dark Void,Dark,,—,50,10,,Puts all adjacent opponents to sleep.,—
Darkest Lariat,Dark,,85,100,10,,Ignores opponent's stat changes.,—
Dazzling Gleam,Fairy,,80,100,10,,Hits all adjacent opponents.,—
Decorate,Fairy,,—,—,15,,Sharply raises target's Attack and Special Attack.,100
Defend Order,Bug,,—,—,10,,Raises user's Defense and Special Defense.,—
Defense Curl,Normal,,—,—,40,,Raises user's Defense.,—
Defog,Flying,,—,—,15,,Lowers opponent's Evasiveness and clears fog.,—
Destiny Bond,Ghost,,—,—,5,,"If the user faints, the opponent also faints.",—
Detect,Fighting,,—,—,5,,"Protects the user, but may fail if used consecutively.",—
Devastating Drake,Dragon,—,—,—,1,,Dragon type Z-Move.,—
Diamond Storm,Rock,,100,95,5,,May sharply raise user's Defense.,50
Dig,Ground,,80,100,10,,"Digs underground on first turn, attacks on second. Can also escape from caves.",—
Dire Claw,Poison,,60,100,15,,"High critical hit ratio. May poison, paralyze or make the opponent drowsy.",—
Disable,Normal,,—,100,20,,Opponent can't use its last attack for a few turns.,—
Disarming Voice,Fairy,,40,∞,15,,Ignores Accuracy and Evasiveness.,—
Discharge,Electric,,80,100,15,,May paralyze opponent.,30
Dive,Water,,80,100,10,,"Dives underwater on first turn, attacks on second turn.",—
Dizzy Punch,Normal,,70,100,10,,May confuse opponent.,20
Doom Desire,Steel,,140,100,5,,Damage occurs 2 turns later.,—
Double Hit,Normal,,35,90,10,,Hits twice in one turn.,—
Double Iron Bash,Steel,,60,100,5,,Hits twice in one turn; may cause flinching.,30
Double Kick,Fighting,,30,100,30,,Hits twice in one turn.,—
Double Slap,Normal,,15,85,10,,Hits 2-5 times in one turn.,—
Double Team,Normal,,—,—,15,,Raises user's Evasiveness.,—
Double-Edge,Normal,,120,100,15,,User receives recoil damage.,—
Draco Meteor,Dragon,,130,90,5,,Sharply lowers user's Special Attack.,100
Dragon Ascent,Flying,,120,100,5,,Lowers user's Defense and Special Defense.,100
Dragon Breath,Dragon,,60,100,20,,May paralyze opponent.,30
Dragon Claw,Dragon,,80,100,15,,,—
Dragon Dance,Dragon,,—,—,20,,Raises user's Attack and Speed.,—
Dragon Darts,Dragon,,50,100,10,,User attacks twice.,—
Dragon Energy,Dragon,,150,100,5,,"The higher the user's HP, the higher the power.",—
Dragon Hammer,Dragon,,90,100,15,,The user uses its body like a hammer to attack the target and inflict damage.,—
Dragon Pulse,Dragon,,85,100,10,,,—
Dragon Rage,Dragon,,—,100,10,,Always inflicts 40 HP.,—
Dragon Rush,Dragon,,100,75,10,,May cause flinching.,20
Dragon Tail,Dragon,,60,90,10,,"In battles, the opponent switches. In the wild, the Pokémon runs.",—
Drain Punch,Fighting,,75,100,10,,User recovers half the HP inflicted on opponent.,—
Draining Kiss,Fairy,,50,100,10,,User recovers most the HP inflicted on opponent.,—
Dream Eater,Psychic,,100,100,15,,User recovers half the HP inflicted on a sleeping opponent.,—
Drill Peck,Flying,,80,100,20,,,—
Drill Run,Ground,,80,95,10,,High critical hit ratio.,—
Drum Beating,Grass,,80,100,10,,Lowers opponent's Speed.,100
Dual Chop,Dragon,,40,90,15,,Hits twice in one turn.,—
Dual Wingbeat,Flying,,40,90,10,,The user slams the target with its wings. The target is hit twice in a row.,—
Dynamax Cannon,Dragon,,100,100,5,,Damage doubles if opponent is Dynamaxed.,—
Dynamic Punch,Fighting,,100,50,5,,Confuses opponent.,100
Earth Power,Ground,,90,100,10,,May lower opponent's Special Defense.,10
Earthquake,Ground,,100,100,10,,Power is doubled if opponent is underground from using Dig.,—
Echoed Voice,Normal,,40,100,15,,Power increases each turn.,—
Eerie Impulse,Electric,,—,100,15,,Sharply lowers opponent's Special Attack.,—
Eerie Spell,Psychic,,80,100,5,,Deals damage and reduces opponent's PP.,—
Egg Bomb,Normal,,100,75,10,,,—
Electric Terrain,Electric,,—,—,10,,Prevents all Pokémon from falling asleep for 5 turns.,—
Electrify,Electric,,—,—,20,,Changes the target's move to Electric type.,—
Electro Ball,Electric,,—,100,10,,"The faster the user, the stronger the attack.",—
Electroweb,Electric,,55,95,15,,Lowers opponent's Speed.,100
Embargo,Dark,,—,100,15,,Opponent cannot use items.,—
Ember,Fire,,40,100,25,,May burn opponent.,10
Encore,Normal,,—,100,5,,Forces opponent to keep using its last move for 3 turns.,—
Endeavor,Normal,,—,100,5,,Reduces opponent's HP to same as user's.,—
Endure,Normal,,—,—,10,,"Always left with at least 1 HP, but may fail if used consecutively.",—
Energy Ball,Grass,,90,100,10,,May lower opponent's Special Defense.,10
Entrainment,Normal,,—,100,15,,Makes target's ability same as user's.,—
Eruption,Fire,,150,100,5,,Stronger when the user's HP is higher.,—
Esper Wing,Psychic,,75,90,10,,High critical hit ratio. Raises user's Speed.,—
Eternabeam,Dragon,,160,90,5,,User can't move on the next turn.,—
Expanding Force,Psychic,,80,100,10,,Increases power and hits all opponents on Psychic Terrain.,—
Explosion,Normal,,250,100,5,,User faints.,—
Extrasensory,Psychic,,80,100,20,,May cause flinching.,10
Extreme Evoboost,Normal,,—,—,1,,Eevee-exclusive Z-Move. Sharply raises all stats.,100
Extreme Speed,Normal,,80,100,5,,User attacks first.,—
Facade,Normal,,70,100,20,,"Power doubles if user is burned, poisoned, or paralyzed.",—
Fairy Lock,Fairy,,—,—,10,,Prevents fleeing in the next turn.,—
Fairy Wind,Fairy,,40,100,30,,,—
Fake Out,Normal,,40,100,10,,"User attacks first, foe flinches. Only usable on first turn.",100
Fake Tears,Dark,,—,100,20,,Sharply lowers opponent's Special Defense.,—
False Surrender,Dark,,80,∞,10,,Ignores Accuracy and Evasiveness.,—
False Swipe,Normal,,40,100,40,,Always leaves opponent with at least 1 HP.,—
Feather Dance,Flying,,—,100,15,,Sharply lowers opponent's Attack.,—
Feint,Normal,,30,100,10,,Only hits if opponent uses Protect or Detect in the same turn.,—
Feint Attack,Dark,,60,∞,20,,Ignores Accuracy and Evasiveness.,—
Fell Stinger,Bug,,50,100,25,,Drastically raises user's Attack if target is KO'd.,—
Fiery Dance,Fire,,80,100,10,,May raise user's Special Attack.,50
Fiery Wrath,Dark,,90,100,10,,May cause flinching.,20
Final Gambit,Fighting,,—,100,5,,Inflicts damage equal to the user's remaining HP. User faints.,—
Fire Blast,Fire,,110,85,5,,May burn opponent.,10
Fire Fang,Fire,,65,95,15,,May cause flinching and/or burn opponent.,10
Fire Lash,Fire,,80,100,15,,The user strikes the target with a burning lash. This also lowers the target's Defense stat.,100
Fire Pledge,Fire,,80,100,10,,Added effects appear if combined with Grass Pledge or Water Pledge.,—
Fire Punch,Fire,,75,100,15,,May burn opponent.,10
Fire Spin,Fire,,35,85,15,,"Traps opponent, damaging them for 4-5 turns.",100
First Impression,Bug,,90,100,10,,"Although this move has great power, it only works the first turn the user is in battle.",—
Fishious Rend,Water,,85,100,10,,"If the user attacks before the target, the power of this move is doubled.",—
Fissure,Ground,,—,30,5,,"One-Hit-KO, if it hits.",—
Flail,Normal,,—,100,15,,"The lower the user's HP, the higher the power.",—
Flame Burst,Fire,,70,100,15,,May also injure nearby Pokémon.,—
Flame Charge,Fire,,50,100,20,,Raises user's Speed.,100
